"id_ride","code","date_reservation","date_expiration","price_total","date_pickup","date_pickup_local","id_rider","id_driver","amount_riders","default_pickup_latitude","default_pickup_longitude","default_dropoff_latitude","default_dropoff_longitude","default_distance_p_to_d","default_duration_p_to_d"
863371,"rider_no_show","2024-02-14 16:59:23.540047","2024-02-27 18:30:00.000000",34.62,"2024-02-28 18:30:00.000000","2024-02-28 13:30:00.000000",403021,448185,1,34.368413,-83.241047,34.5898,-83.322315,19.15,2280
863375,"canceled_by_rider","2024-02-14 17:10:06.759465","2024-02-27 14:05:22.356497",49.24,"2024-02-28 14:04:00.000000","2024-02-28 09:04:00.000000",474714,NULL,2,34.099567,-84.572949,33.831171,-84.33357,28.52,3360
863377,"canceled_by_rider","2024-02-14 17:10:28.179434","2024-02-27 14:05:23.522483",49.14,"2024-02-28 17:00:00.000000","2024-02-28 12:00:00.000000",474714,NULL,2,33.831171,-84.33357,34.099567,-84.572949,28.45,3360
863454,"canceled_by_rider","2024-02-14 17:34:12.719560","2024-02-27 16:04:00.000000",47.71,"2024-02-28 16:04:00.000000","2024-02-28 11:04:00.000000",396444,NULL,1,34.167277,-84.798433,33.85519,-84.60516,27.54,3360
863455,"canceled_by_rider","2024-02-14 17:34:15.148474","2024-02-27 19:00:00.000000",48.05,"2024-02-28 19:00:00.000000","2024-02-28 14:00:00.000000",396444,NULL,1,33.85519,-84.60516,34.167277,-84.798433,27.76,3420
863480,"canceled_by_rider","2024-02-14 17:38:40.499619","2024-02-27 13:25:22.779558",39.16,"2024-02-28 13:25:00.000000","2024-02-28 08:25:00.000000",405451,NULL,1,33.916836,-84.823425,34.159771,-84.784828,22.06,2100
863481,"canceled_by_rider","2024-02-14 17:38:42.691881","2024-02-27 13:25:23.443031",39.74,"2024-02-28 19:00:00.000000","2024-02-28 14:00:00.000000",405451,NULL,1,34.159771,-84.784828,33.916836,-84.823425,22.43,2160
863530,"canceled_by_rider","2024-02-14 18:03:37.998136","2024-02-25 13:57:11.955927",32.86,"2024-02-26 16:45:00.000000","2024-02-26 11:45:00.000000",475444,NULL,2,33.577305,-84.396873,33.779566,-84.474026,18.02,2700
863531,"canceled_by_rider","2024-02-14 18:03:41.270595","2024-02-25 13:57:11.267293",32.99,"2024-02-26 13:57:00.000000","2024-02-26 08:57:00.000000",475444,NULL,2,33.779566,-84.474026,33.577305,-84.396873,18.1,2880
864046,"canceled_by_rider","2024-02-15 14:23:45.788453","2024-02-28 19:00:22.042507",30.04,"2024-02-29 15:45:00.000000","2024-02-29 10:45:00.000000",450762,NULL,1,33.753452,-84.454025,33.570579,-84.353683,16.21,2700
864047,"canceled_by_rider","2024-02-15 14:23:46.317950","2024-02-28 19:00:21.360466",20.99,"2024-02-29 19:05:00.000000","2024-02-29 14:05:00.000000",450762,NULL,1,33.570579,-84.353683,33.67614,-84.44187,10.41,1800
864048,"canceled_by_rider","2024-02-15 14:23:48.981347","2024-02-28 19:00:23.242139",16.05,"2024-02-29 20:00:00.000000","2024-02-29 15:00:00.000000",450762,NULL,1,33.67614,-84.44187,33.753452,-84.454025,6.87,1800
864056,"canceled_by_rider","2024-02-15 14:28:35.810445","2024-02-27 17:36:50.796752",43.64,"2024-02-28 17:36:00.000000","2024-02-28 12:36:00.000000",471589,NULL,1,34.57897,-83.97491,34.313587,-83.814478,24.93,2340
864057,"canceled_by_rider","2024-02-15 14:28:35.937177","2024-02-27 17:36:51.489849",43.62,"2024-02-28 20:15:00.000000","2024-02-28 15:15:00.000000",471589,NULL,1,34.313587,-83.814478,34.57897,-83.97491,24.92,2220
864068,"canceled_by_rider","2024-02-15 14:28:59.953570","2024-02-29 16:21:09.606225",42.22,"2024-02-29 19:30:00.000000","2024-02-29 14:30:00.000000",399749,NULL,1,34.248329,-85.164261,34.352047,-85.408867,24.02,2400
864069,"received_after_pickup","2024-02-15 14:29:02.233272","2024-02-15 14:28:02.233272",42.25,"2024-02-29 14:35:00.000000","2024-02-29 09:35:00.000000",399749,NULL,1,34.352047,-85.408867,34.248329,-85.164261,24.04,2400
864113,"canceled_by_rider","2024-02-15 14:53:25.018138","2024-02-28 12:26:33.217952",41.84,"2024-02-29 16:00:00.000000","2024-02-29 11:00:00.000000",399594,NULL,1,34.3043,-83.817005,34.520924,-83.524648,23.78,1980
864114,"canceled_by_rider","2024-02-15 14:53:25.020025","2024-02-28 12:26:32.548150",42.08,"2024-02-29 12:26:00.000000","2024-02-29 07:26:00.000000",399594,NULL,1,34.520924,-83.524648,34.3043,-83.817005,23.93,2040
864148,"canceled_by_rider","2024-02-15 15:04:18.480681","2024-02-27 17:16:47.295762",29.04,"2024-02-28 17:14:00.000000","2024-02-28 12:14:00.000000",408383,NULL,1,33.895676,-84.236921,33.751835,-84.382027,15.57,2760
864149,"canceled_by_rider","2024-02-15 15:04:19.811783","2024-02-27 17:16:48.239974",28.02,"2024-02-28 19:30:00.000000","2024-02-28 14:30:00.000000",408383,NULL,1,33.751835,-84.382027,33.895676,-84.236921,14.92,2160
864153,"canceled_by_rider","2024-02-15 15:13:53.994666","2024-02-28 14:06:04.620331",28.93,"2024-02-29 16:00:00.000000","2024-02-29 11:00:00.000000",471785,NULL,1,34.918774,-85.124558,34.88956,-85.337952,15.5,1800
864154,"canceled_by_rider","2024-02-15 15:13:54.018279","2024-02-28 14:06:06.180650",28.93,"2024-02-29 16:00:00.000000","2024-02-29 11:00:00.000000",471787,NULL,2,34.918774,-85.124558,34.88956,-85.337952,15.5,1800
864155,"canceled_by_rider","2024-02-15 15:13:57.423593","2024-02-28 14:06:07.434879",28.96,"2024-02-29 13:30:00.000000","2024-02-29 08:30:00.000000",471787,NULL,2,34.88956,-85.337952,34.918774,-85.124558,15.52,1800
864156,"canceled_by_rider","2024-02-15 15:14:02.313346","2024-02-28 14:06:07.500651",28.96,"2024-02-29 13:30:00.000000","2024-02-29 08:30:00.000000",471785,NULL,1,34.88956,-85.337952,34.918774,-85.124558,15.52,1800
864157,"canceled_by_rider","2024-02-15 15:14:07.353763","2024-02-28 14:06:07.563833",28.96,"2024-02-29 13:30:00.000000","2024-02-29 08:30:00.000000",476959,NULL,1,34.88956,-85.337952,34.918774,-85.124558,15.52,1800
864158,"canceled_by_rider","2024-02-15 15:14:07.968890","2024-02-28 14:06:08.840808",28.93,"2024-02-29 16:00:00.000000","2024-02-29 11:00:00.000000",476959,NULL,1,34.918774,-85.124558,34.88956,-85.337952,15.5,1800
864208,"received_after_pickup","2024-02-15 15:39:13.914996","2024-02-15 15:38:13.914996",40.66,"2024-02-29 13:22:00.000000","2024-02-29 08:22:00.000000",476382,NULL,1,34.095266,-84.472361,34.159771,-84.784828,23.02,2280
864209,"canceled_by_rider","2024-02-15 15:39:17.809325","2024-02-29 16:55:56.699590",41.73,"2024-02-29 19:00:00.000000","2024-02-29 14:00:00.000000",476382,NULL,1,34.159771,-84.784828,34.095266,-84.472361,23.7,2460
864362,"canceled_by_rider","2024-02-15 16:40:09.643282","2024-02-28 17:14:36.675180",39.01,"2024-02-29 14:14:00.000000","2024-02-29 09:14:00.000000",471589,NULL,1,34.57897,-83.97491,34.33902,-83.848694,21.96,1860
864363,"canceled_by_rider","2024-02-15 16:40:14.032927","2024-02-28 17:14:38.273623",39,"2024-02-29 16:45:00.000000","2024-02-29 11:45:00.000000",471589,NULL,1,34.33902,-83.848694,34.57897,-83.97491,21.95,1800
864392,"canceled_by_rider","2024-02-15 16:45:16.216288","2024-02-28 17:14:38.341495",38.84,"2024-02-29 12:53:00.000000","2024-02-29 07:53:00.000000",434532,NULL,1,34.495263,-83.83231,34.483797,-83.545787,21.85,2220
864394,"completed","2024-02-15 16:45:23.781545","2024-02-28 13:25:00.000000",39.16,"2024-02-29 13:25:00.000000","2024-02-29 08:25:00.000000",405451,463149,1,33.916836,-84.823425,34.159771,-84.784828,22.06,2100
864395,"canceled_by_rider","2024-02-15 16:45:26.642326","2024-02-28 17:14:39.602489",38.84,"2024-02-29 19:30:00.000000","2024-02-29 14:30:00.000000",434532,NULL,1,34.483797,-83.545787,34.495263,-83.83231,21.85,2220
864396,"completed","2024-02-15 16:45:41.158835","2024-02-28 19:00:00.000000",39.74,"2024-02-29 19:00:00.000000","2024-02-29 14:00:00.000000",405451,463149,1,34.159771,-84.784828,33.916836,-84.823425,22.43,2160
864651,"completed","2024-02-15 18:53:46.833061","2024-02-22 18:15:00.000000",51.77,"2024-02-23 18:15:00.000000","2024-02-23 13:15:00.000000",477002,462399,1,33.676639,-84.496246,33.869971,-84.090802,30.14,4080
864653,"completed","2024-02-15 18:53:53.366741","2024-02-22 15:15:00.000000",50.63,"2024-02-23 15:15:00.000000","2024-02-23 10:15:00.000000",477002,462399,1,33.84063,-84.096947,33.676639,-84.496246,29.41,3600
864671,"canceled_by_rider","2024-02-15 18:59:21.971785","2024-02-28 13:27:29.531536",32.27,"2024-02-29 19:00:00.000000","2024-02-29 14:00:00.000000",450556,NULL,1,34.159771,-84.784828,33.994566,-84.799295,17.64,2220
864672,"canceled_by_rider","2024-02-15 18:59:25.583637","2024-02-28 13:27:28.725509",31.59,"2024-02-29 13:27:00.000000","2024-02-29 08:27:00.000000",450556,NULL,1,33.994566,-84.799295,34.159771,-84.784828,17.2,1980
864730,"canceled_by_rider","2024-02-15 20:23:38.240781","2024-02-29 02:34:01.863551",45.73,"2024-02-29 14:34:00.000000","2024-02-29 09:34:00.000000",475131,NULL,1,34.123881,-83.41474,33.975941,-83.740784,26.27,2460
864731,"canceled_by_rider","2024-02-15 20:23:40.751444","2024-02-29 02:34:03.371790",45.11,"2024-02-29 19:00:00.000000","2024-02-29 14:00:00.000000",475131,NULL,1,33.975941,-83.740784,34.123881,-83.41474,25.87,2400
865579,"canceled_by_rider","2024-02-16 14:33:33.428472","2024-02-29 14:30:57.546694",24.38,"2024-03-01 14:30:00.000000","2024-03-01 09:30:00.000000",466119,NULL,2,33.958942,-83.592285,33.962475,-83.39196,12.58,1800
865580,"canceled_by_rider","2024-02-16 14:33:33.531342","2024-02-29 14:30:59.310616",24.38,"2024-03-01 17:00:00.000000","2024-03-01 12:00:00.000000",466119,NULL,2,33.962475,-83.39196,33.958942,-83.592285,12.58,1800
865585,"completed","2024-02-16 14:33:46.469560","2024-02-29 13:30:32.157623",24.5,"2024-03-01 13:30:00.000000","2024-03-01 08:30:00.000000",474183,476832,1,33.750744,-84.411222,33.904421,-84.463734,12.66,1800
865586,"completed","2024-02-16 14:33:46.917585","2024-02-29 13:30:32.828215",24.03,"2024-03-01 19:00:00.000000","2024-03-01 14:00:00.000000",474183,476832,1,33.904421,-84.463734,33.750744,-84.411222,12.36,1860
865598,"canceled_by_rider","2024-02-16 14:48:35.284687","2024-02-22 18:21:39.067611",26.34,"2024-02-23 18:20:00.000000","2024-02-23 13:20:00.000000",391447,NULL,1,33.758891,-84.442599,33.827305,-84.249394,13.84,2400
865599,"canceled_by_rider","2024-02-16 14:48:35.792308","2024-02-22 18:21:40.117397",26.21,"2024-02-23 21:00:00.000000","2024-02-23 16:00:00.000000",391447,NULL,1,33.827305,-84.249394,33.758891,-84.442599,13.76,2220
865606,"canceled_by_rider","2024-02-16 14:53:28.824062","2024-02-29 02:34:03.463471",26.21,"2024-02-29 14:45:00.000000","2024-02-29 09:45:00.000000",450856,NULL,1,33.809253,-83.709176,33.975941,-83.740784,13.76,1800
865607,"canceled_by_rider","2024-02-16 14:53:28.828979","2024-02-29 02:34:07.821894",26.21,"2024-02-29 18:45:00.000000","2024-02-29 13:45:00.000000",450856,NULL,1,33.975941,-83.740784,33.809253,-83.709176,13.76,1800
865648,"canceled_by_rider","2024-02-16 15:43:49.447768","2024-02-22 13:21:06.792442",25.95,"2024-02-23 13:21:00.000000","2024-02-23 08:21:00.000000",473322,NULL,2,33.726376,-84.390587,33.870851,-84.28208,13.59,2340
865649,"canceled_by_rider","2024-02-16 15:43:52.712065","2024-02-22 13:21:07.822009",25.92,"2024-02-23 14:30:00.000000","2024-02-23 09:30:00.000000",473322,NULL,2,33.870851,-84.28208,33.726376,-84.390587,13.57,2340
865650,"canceled_by_rider","2024-02-16 15:43:52.826072","2024-02-22 13:21:08.487614",25.95,"2024-02-23 18:20:00.000000","2024-02-23 13:20:00.000000",473322,NULL,2,33.726376,-84.390587,33.870851,-84.28208,13.59,2340
865651,"canceled_by_rider","2024-02-16 15:43:55.424206","2024-02-22 13:21:09.113496",25.92,"2024-02-23 19:30:00.000000","2024-02-23 14:30:00.000000",473322,NULL,2,33.870851,-84.28208,33.726376,-84.390587,13.57,2340
865713,"canceled_by_rider","2024-02-16 16:08:49.886037","2024-02-29 14:07:17.828726",25.58,"2024-03-01 14:06:00.000000","2024-03-01 09:06:00.000000",459437,NULL,1,33.776825,-84.086558,33.79032,-84.304148,13.35,2040
865714,"canceled_by_rider","2024-02-16 16:08:51.977295","2024-02-29 14:07:18.500810",25.58,"2024-03-01 19:00:00.000000","2024-03-01 14:00:00.000000",459437,NULL,1,33.79032,-84.304148,33.776825,-84.086558,13.35,2040
866416,"canceled_by_rider","2024-02-17 05:17:56.044272","2024-02-21 21:06:47.920941",46.25,"2024-02-22 12:00:00.000000","2024-02-22 07:00:00.000000",469675,NULL,1,34.200835,-85.166835,34.471134,-84.926116,26.6,3000
866417,"canceled_by_rider","2024-02-17 05:17:56.102117","2024-02-21 21:06:50.021283",46.31,"2024-02-22 13:45:00.000000","2024-02-22 08:45:00.000000",469675,NULL,1,34.471134,-84.926116,34.200835,-85.166835,26.64,3120
866435,"canceled_by_rider","2024-02-17 05:18:21.311989","2024-02-21 16:44:17.876134",84.56,"2024-02-22 10:37:00.000000","2024-02-22 05:37:00.000000",397262,NULL,1,34.691282,-84.327033,34.789418,-84.990878,51.16,4980
866437,"canceled_by_rider","2024-02-17 05:18:24.670482","2024-02-21 16:44:19.185220",84.51,"2024-02-22 20:00:00.000000","2024-02-22 15:00:00.000000",397262,NULL,1,34.789418,-84.990878,34.691282,-84.327033,51.13,1500
866738,"canceled_by_rider","2024-02-18 05:13:23.799439","2024-02-22 14:53:15.537417",32.24,"2024-02-23 17:45:00.000000","2024-02-23 12:45:00.000000",470908,NULL,1,33.812533,-84.392349,33.731198,-84.16258,17.62,2880
866741,"canceled_by_rider","2024-02-18 05:13:27.002928","2024-02-22 14:53:14.124518",32.04,"2024-02-23 14:52:00.000000","2024-02-23 09:52:00.000000",470908,NULL,1,33.731198,-84.16258,33.812533,-84.392349,17.49,3180
866769,"canceled_by_rider","2024-02-18 05:14:18.323716","2024-02-22 17:18:16.558334",34.77,"2024-02-23 20:00:00.000000","2024-02-23 15:00:00.000000",439529,NULL,1,33.909949,-84.352347,33.70993,-84.204275,19.24,2760
866770,"canceled_by_rider","2024-02-18 05:14:19.025200","2024-02-22 17:18:15.639993",34.59,"2024-02-23 17:18:00.000000","2024-02-23 12:18:00.000000",439529,NULL,1,33.70993,-84.204275,33.909949,-84.352347,19.13,2520
866812,"canceled_by_rider","2024-02-18 05:15:24.247816","2024-02-22 10:32:03.898561",26.5,"2024-02-23 10:32:00.000000","2024-02-23 05:32:00.000000",403268,NULL,1,33.667961,-84.451511,33.79032,-84.304148,13.94,2880
866813,"canceled_by_rider","2024-02-18 05:15:24.302634","2024-02-22 10:32:04.872940",26.46,"2024-02-23 15:00:00.000000","2024-02-23 10:00:00.000000",403268,NULL,1,33.79032,-84.304148,33.667961,-84.451511,13.92,2760
866949,"canceled_by_rider","2024-02-18 05:18:36.163045","2024-02-22 18:21:41.334563",35.52,"2024-02-23 13:23:00.000000","2024-02-23 08:23:00.000000",413259,NULL,1,34.950642,-85.290573,34.70073,-85.269657,19.72,2220
866950,"canceled_by_rider","2024-02-18 05:18:37.445223","2024-02-22 18:21:41.986455",35.53,"2024-02-23 20:00:00.000000","2024-02-23 15:00:00.000000",413259,NULL,1,34.70073,-85.269657,34.950642,-85.290573,19.73,2100
867002,"canceled_by_rider","2024-02-18 05:19:50.332329","2024-02-22 15:31:03.058798",26.46,"2024-02-23 15:30:00.000000","2024-02-23 10:30:00.000000",409706,NULL,1,33.61689,-84.608989,33.659779,-84.415031,13.92,1800
867005,"canceled_by_rider","2024-02-18 05:19:53.942580","2024-02-22 15:31:03.656801",26.29,"2024-02-23 21:00:00.000000","2024-02-23 16:00:00.000000",409706,NULL,1,33.659779,-84.415031,33.61689,-84.608989,13.81,1800
867073,"canceled_by_rider","2024-02-18 05:21:29.383624","2024-02-22 15:39:54.609847",27.36,"2024-02-23 15:38:00.000000","2024-02-23 10:38:00.000000",401714,NULL,1,33.904757,-84.257967,33.771095,-84.40715,14.49,1920
867074,"canceled_by_rider","2024-02-18 05:21:29.998420","2024-02-22 15:39:55.253328",27.43,"2024-02-23 20:15:00.000000","2024-02-23 15:15:00.000000",401714,NULL,1,33.771095,-84.40715,33.904757,-84.257967,14.54,1800
867245,"canceled_by_rider","2024-02-19 14:53:27.242797","2024-02-26 16:59:45.839702",40.02,"2024-02-27 19:00:00.000000","2024-02-27 14:00:00.000000",422642,NULL,1,33.963531,-83.376697,34.19518,-83.55123,22.61,1980
867246,"canceled_by_rider","2024-02-19 14:53:27.267907","2024-02-26 16:59:47.151408",40.02,"2024-02-27 12:27:00.000000","2024-02-27 07:27:00.000000",422642,NULL,1,34.19518,-83.55123,33.963531,-83.376697,22.61,1980
867253,"canceled_by_rider","2024-02-19 15:23:31.892304","2024-02-22 16:59:25.951886",39.85,"2024-02-23 11:38:00.000000","2024-02-23 06:38:00.000000",404427,NULL,2,33.69936,-84.497353,33.924079,-84.311149,22.5,4020
867254,"canceled_by_rider","2024-02-19 15:23:31.918069","2024-02-22 16:59:27.479543",40.05,"2024-02-23 14:45:00.000000","2024-02-23 09:45:00.000000",404427,NULL,2,33.924079,-84.311149,33.69936,-84.497353,22.63,3300
867437,"completed","2024-02-19 19:09:02.240475","2024-02-22 15:11:00.000000",34.91,"2024-02-23 15:11:00.000000","2024-02-23 10:11:00.000000",477122,454916,3,33.92797,-84.54855,33.79362,-84.31953,19.33,2940
867438,"completed","2024-02-19 19:09:09.498945","2024-02-22 18:00:00.000000",34.98,"2024-02-23 18:00:00.000000","2024-02-23 13:00:00.000000",477122,454916,3,33.79362,-84.31953,33.92797,-84.54855,19.38,2880
867546,"canceled_by_rider","2024-02-19 21:12:34.328529","2024-02-22 14:56:12.693838",53.64,"2024-02-23 14:56:00.000000","2024-02-23 09:56:00.000000",448167,395857,1,34.32104,-83.970422,34.623092,-83.802303,31.34,2940
867547,"canceled_by_rider","2024-02-19 21:12:36.891776","2024-02-22 14:56:13.952216",53.67,"2024-02-23 17:45:00.000000","2024-02-23 12:45:00.000000",448167,NULL,1,34.623092,-83.802303,34.32104,-83.970422,31.36,3000
867555,"completed","2024-02-19 21:12:57.386021","2024-02-22 12:59:00.000000",55.17,"2024-02-23 12:59:00.000000","2024-02-23 07:59:00.000000",454791,477155,1,33.806977,-84.871235,33.785221,-84.388164,32.32,3660
867558,"rider_no_show","2024-02-19 21:13:04.843689","2024-02-22 15:37:00.000000",71.37,"2024-02-23 15:37:00.000000","2024-02-23 10:37:00.000000",461601,395857,1,34.509319,-83.748123,34.133295,-84.126784,42.7,4080
867559,"completed","2024-02-19 21:13:05.034829","2024-02-22 16:00:00.000000",55.25,"2024-02-23 16:00:00.000000","2024-02-23 11:00:00.000000",454791,477155,1,33.785221,-84.388164,33.806977,-84.871235,32.37,3660
867561,"canceled_by_rider","2024-02-19 21:13:11.398973","2024-02-22 18:45:00.000000",74.49,"2024-02-23 18:45:00.000000","2024-02-23 13:45:00.000000",461601,395857,1,34.133295,-84.126784,34.509319,-83.748123,44.7,3780
867580,"canceled_by_rider","2024-02-20 01:03:38.217163","2024-02-21 18:31:22.963173",36.14,"2024-02-22 11:00:00.000000","2024-02-22 06:00:00.000000",430169,NULL,1,34.782748,-84.982496,34.964351,-85.194404,20.12,1800
867581,"canceled_by_rider","2024-02-20 01:03:40.097992","2024-02-21 18:31:24.943301",36.11,"2024-02-22 13:30:00.000000","2024-02-22 08:30:00.000000",430169,NULL,1,34.964351,-85.194404,34.782748,-84.982496,20.1,1920
867586,"completed","2024-02-20 05:08:34.750190","2024-02-24 14:15:00.000000",23.22,"2024-02-25 14:15:00.000000","2024-02-25 09:15:00.000000",404341,472154,1,33.723575,-84.290484,33.753895,-84.471848,11.84,1800
867588,"completed","2024-02-20 05:08:37.881268","2024-02-24 15:30:00.000000",23.24,"2024-02-25 15:30:00.000000","2024-02-25 10:30:00.000000",404341,472154,1,33.753895,-84.471848,33.723575,-84.290484,11.85,1800
867590,"completed","2024-02-20 05:08:40.303554","2024-02-24 14:00:00.000000",20.32,"2024-02-25 14:00:00.000000","2024-02-25 09:00:00.000000",397102,472154,1,33.722836,-84.319755,33.753895,-84.471848,9.98,1800
867591,"completed","2024-02-20 05:08:42.644606","2024-02-24 15:00:00.000000",20.35,"2024-02-25 15:00:00.000000","2024-02-25 10:00:00.000000",397102,472154,1,33.753895,-84.471848,33.722836,-84.319755,10,1800
867668,"completed","2024-02-20 15:24:07.756209","2024-02-27 16:00:00.000000",50.55,"2024-02-28 16:27:00.000000","2024-02-28 11:27:00.000000",477146,389211,2,33.831171,-84.33357,33.696037,-84.733003,29.36,3600
867669,"completed","2024-02-20 15:24:07.991601","2024-02-27 13:00:00.000000",50.45,"2024-02-28 13:00:00.000000","2024-02-28 08:00:00.000000",477146,389211,2,33.696037,-84.733003,33.831171,-84.33357,29.3,3600
867819,"completed","2024-02-20 17:23:30.146267","2024-02-21 16:08:38.066801",127.04,"2024-02-21 17:00:00.000000","2024-02-21 12:00:00.000000",414992,471263,1,34.519741,-85.352735,33.874582,-84.50604,78.39,6840
867820,"completed","2024-02-20 17:23:30.148607","2024-02-21 16:08:34.055325",128.54,"2024-02-21 19:00:00.000000","2024-02-21 14:00:00.000000",414992,471263,1,33.874582,-84.50604,34.519741,-85.352735,79.35,7260
867883,"distributing_linear","2024-02-20 18:53:45.696622","2024-03-06 11:00:00.000000",31.85,"2024-03-08 17:00:00.000000","2024-03-08 12:00:00.000000",434829,NULL,1,34.449451,-83.600734,34.308041,-83.81579,17.37,1800
867885,"distributing_linear","2024-02-20 18:53:51.488380","2024-03-06 13:30:00.000000",31.5,"2024-03-08 19:30:00.000000","2024-03-08 14:30:00.000000",434829,NULL,1,34.308041,-83.81579,34.449451,-83.600734,17.15,1800
868013,"canceled_by_rider","2024-02-21 05:14:28.981954","2024-02-24 08:18:14.957029",26.04,"2024-02-26 17:00:00.000000","2024-02-26 12:00:00.000000",449596,NULL,1,33.755024,-84.388283,33.804999,-84.178078,13.65,2280
868014,"canceled_by_rider","2024-02-21 05:14:30.719351","2024-02-24 10:34:38.256579",28.87,"2024-02-26 16:34:00.000000","2024-02-26 11:34:00.000000",463195,NULL,2,33.74509,-84.526017,33.831733,-84.332394,15.46,2460
868015,"canceled_by_rider","2024-02-21 05:14:31.963503","2024-02-24 10:34:40.518439",28.94,"2024-02-26 19:15:00.000000","2024-02-26 14:15:00.000000",463195,NULL,2,33.831733,-84.332394,33.74509,-84.526017,15.51,2700
868016,"completed","2024-02-21 05:14:33.878374","2024-02-24 08:44:00.000000",32.64,"2024-02-26 14:44:00.000000","2024-02-26 09:44:00.000000",463509,475658,1,33.748296,-84.123699,33.727055,-84.391881,17.88,2760
868017,"completed","2024-02-21 05:14:34.870117","2024-02-24 11:30:00.000000",32.22,"2024-02-26 17:30:00.000000","2024-02-26 12:30:00.000000",463509,475658,1,33.727055,-84.391881,33.748296,-84.123699,17.61,2640
868018,"completed","2024-02-21 05:14:39.093194","2024-02-24 11:14:00.000000",77.18,"2024-02-26 17:14:00.000000","2024-02-26 12:14:00.000000",411375,389211,2,33.58996,-84.57127,33.96979,-84.03424,46.43,6060
868019,"completed","2024-02-21 05:14:40.031994","2024-02-24 14:55:00.000000",76.71,"2024-02-26 20:55:00.000000","2024-02-26 15:55:00.000000",411375,389211,2,33.96979,-84.03424,33.58996,-84.57127,46.13,6000
868020,"completed","2024-02-21 05:14:44.808921","2024-02-24 07:04:00.000000",30.63,"2024-02-26 13:04:00.000000","2024-02-26 08:04:00.000000",449516,462399,1,33.695728,-84.345184,33.859844,-84.18885,16.59,3360
868021,"completed","2024-02-21 05:14:45.102554","2024-02-24 10:00:00.000000",30.48,"2024-02-26 16:00:00.000000","2024-02-26 11:00:00.000000",449516,462399,1,33.859844,-84.18885,33.695728,-84.345184,16.49,3300
